Courses,Professor,Day,Time,whether Lecture/Tutorial/Lab?,Room number(h-# or l-#)
C_02,Prof-5,Monday,11:00,Lecture,H_1
C_02,Prof-5,Tuesday,11:00,Lecture,H_1
C_02,Prof-5,Wednesday,11:00,Lecture,H_1
C_02,Prof-5,Thrusday,02:00,Lab,H_1
C_02,Prof-5,Thrusday,03:00,Lab,H_1
C_02,Prof-5,Thrusday,04:00,Lab,H_1
C_02,Prof-5,Friday,02:00,Lab,H_1
C_02,Prof-5,Friday,03:00,Lab,H_1
C_02,Prof-5,Friday,04:00,Lab,H_1
C_03,Prof-6,Monday,10:00,Lecture,H_1
C_03,Prof-6,Tuesday,10:00,Lecture,H_1
C_03,Prof-6,Wednesday,10:00,Lecture,H_1
C_03,Prof-6,Monday,02:00,Lab,H_1
C_03,Prof-6,Monday,03:00,Lab,H_1
C_03,Prof-6,Wednesday,02:00,Lab,H_1
C_03,Prof-6,Wednesday,03:00,Lab,H_1
C_01,Prof-1,Monday,09:00,Lecture,H_1
C_01,Prof-1,Tuesday,09:00,Lecture,H_1
C_01,Prof-1,Wednesday,09:00,Lecture,H_1
C_01,Prof-1,Monday,02:00,Lab,H_2
C_01,Prof-1,Monday,03:00,Lab,H_2
C_01,Prof-1,Monday,04:00,Lab,H_1
C_01,Prof-1,Tuesday,02:00,Lab,H_1
C_01,Prof-1,Tuesday,03:00,Lab,H_1
C_01,Prof-1,Tuesday,04:00,Lab,H_1
C_06,Prof-7,Monday,04:00,Lecture,H_1
C_06,Prof-7,Thrusday,12:00,Lecture,H_1
C_06,Prof-7,Friday,12:00,Lecture,H_1
C_06,Prof-7,Thrusday,02:00,Lab,H_2
C_06,Prof-7,Thrusday,03:00,Lab,H_2
C_06,Prof-7,Thrusday,04:00,Lab,H_2
C_06,Prof-7,Friday,02:00,Lab,H_2
C_06,Prof-7,Friday,03:00,Lab,H_2
C_06,Prof-7,Friday,04:00,Lab,H_2
C_07,Prof-5,Monday,03:00,Lecture,H_1
C_07,Prof-5,Wednesday,03:00,Lecture,H_1
C_07,Prof-5,Thrusday,04:00,Lecture,H_1
C_07,Prof-5,Saturday,09:00,Tutorial,H_1
C_04,Prof-3,Monday,12:00,Lecture,H_1
C_04,Prof-3,Tuesday,12:00,Lecture,H_1
C_04,Prof-3,Wednesday,12:00,Lecture,H_1
C_04,Prof-3,Tuesday,03:00,Lab,H_2
C_04,Prof-3,Tuesday,04:00,Lab,H_2
C_04,Prof-3,Thrusday,02:00,Lab,H_3
C_04,Prof-3,Thrusday,03:00,Lab,H_3
C_05,Prof-3,Monday,02:00,Lecture,H_1
C_05,Prof-3,Thrusday,09:00,Lecture,H_1
C_05,Prof-3,Friday,09:00,Lecture,H_1
C_05,Prof-3,Tuesday,02:00,Lab,H_2
C_05,Prof-3,Tuesday,03:00,Lab,H_3
C_05,Prof-3,Tuesday,04:00,Lab,H_3
C_05,Prof-3,Wednesday,02:00,Lab,H_2
C_05,Prof-3,Wednesday,03:00,Lab,H_2
C_05,Prof-3,Wednesday,04:00,Lab,H_1
C_08,Prof-1,Saturday,10:00,Lecture,H_1
C_08,Prof-1,Saturday,11:00,Lecture,H_1
C_08,Prof-1,Saturday,12:00,Lecture,H_1
C_08,Prof-1,Saturday,12:00,Tutorial,H_2
